Country,Year,Mean income or consumption per day
Albania,2024,14.8471575
Algeria,2024,
Angola,2024,
Armenia,2024,8.848503
Australia,2024,72.71122
Austria,2024,81.63124
Azerbaijan,2024,
Bangladesh,2024,7.510242
Barbados,2024,
Belarus,2024,20.547213
Belgium,2024,69.923615
Belize,2024,
Benin,2024,5.2668376
Bhutan,2024,18.073696
Bolivia,2024,22.932411
Bosnia and Herzegovina,2024,
Botswana,2024,
Brazil,2024,25.532705
Bulgaria,2024,39.4116
Burkina Faso,2024,4.472096
Burundi,2024,2.6171274
Cameroon,2024,6.8537874
Canada,2024,77.72996
Cape Verde,2024,
Central African Republic,2024,2.7529066
Chad,2024,4.5775433
Chile,2024,32.76781
China,2024,17.109299
Colombia,2024,19.182163
Comoros,2024,
Congo,2024,
Costa Rica,2024,30.73433
Cote d'Ivoire,2024,6.0716295
Croatia,2024,41.354122
Cyprus,2024,63.37519
Czechia,2024,43.34936
Democratic Republic of Congo,2024,1.9507064
Denmark,2024,72.673805
Djibouti,2024,
Dominican Republic,2024,22.729546
East Timor,2024,
Ecuador,2024,16.930481
Egypt,2024,9.027522
El Salvador,2024,15.455426
Equatorial Guinea,2024,9.440321
Estonia,2024,43.79758
Eswatini,2024,
Ethiopia,2024,4.163239
Fiji,2024,8.526295
Finland,2024,64.4631
France,2024,66.80173
Gabon,2024,
Gambia,2024,6.466066
Georgia,2024,10.7141
Germany,2024,79.63479
Ghana,2024,
Greece,2024,34.240925
Grenada,2024,
Guatemala,2024,12.511656
Guinea,2024,
Guinea-Bissau,2024,4.3089066
Guyana,2024,
Haiti,2024,
Honduras,2024,11.546224
Hungary,2024,
Iceland,2024,68.33211
India,2024,6.3550925
Indonesia,2024,8.235058
Iran,2024,12.783147
Iraq,2024,12.957657
Ireland,2024,59.157333
Israel,2024,42.778305
Italy,2024,57.50909
Jamaica,2024,18.942043
Japan,2024,48.10824
Jordan,2024,
Kazakhstan,2024,15.093543
Kenya,2024,4.288312
Kiribati,2024,6.907507
Kosovo,2024,12.346149
Kyrgyzstan,2024,7.388985
Laos,2024,
Latvia,2024,40.018093
Lebanon,2024,9.996689
Lesotho,2024,
Liberia,2024,
Lithuania,2024,46.528545
Luxembourg,2024,106.095955
Madagascar,2024,2.9119458
Malawi,2024,2.5915048
Malaysia,2024,39.696262
Maldives,2024,17.726778
Mali,2024,4.7777743
Malta,2024,65.44735
Marshall Islands,2024,12.782961
Mauritania,2024,7.20688
Mauritius,2024,
Mexico,2024,17.818584
Micronesia (country),2024,
Moldova,2024,13.528752
Mongolia,2024,14.330854
Montenegro,2024,20.636969
Morocco,2024,
Mozambique,2024,2.380777
Myanmar,2024,
Namibia,2024,
Nauru,2024,
Nepal,2024,9.469674
Netherlands,2024,75.495895
Nicaragua,2024,
Niger,2024,3.3583598
Nigeria,2024,4.1566157
North Macedonia,2024,17.216728
Norway,2024,86.74115
Pakistan,2024,
Palestine,2024,15.01795
Panama,2024,28.700144
Papua New Guinea,2024,
Paraguay,2024,21.274677
Peru,2024,13.862174
Philippines,2024,7.255237
Poland,2024,44.054623
Portugal,2024,41.0672
Qatar,2024,
Romania,2024,32.655457
Russia,2024,26.266544
Rwanda,2024,4.8951716
Saint Lucia,2024,
Samoa,2024,
Sao Tome and Principe,2024,
Senegal,2024,6.512769
Serbia,2024,21.973694
Seychelles,2024,
Sierra Leone,2024,
Slovakia,2024,25.447556
Slovenia,2024,54.709743
Solomon Islands,2024,
South Africa,2024,
South Korea,2024,64.39007
South Sudan,2024,
Spain,2024,54.849464
Sri Lanka,2024,10.576535
Sudan,2024,
Suriname,2024,18.695366
Sweden,2024,62.833885
Switzerland,2024,87.38968
Syria,2024,5.341807
Taiwan,2024,55.607807
Tajikistan,2024,9.544276
Tanzania,2024,
Thailand,2024,20.376883
Togo,2024,5.0608582
Tonga,2024,12.599189
Trinidad and Tobago,2024,
Tunisia,2024,15.890997
Turkey,2024,28.938576
Turkmenistan,2024,
Tuvalu,2024,
Uganda,2024,3.648793
Ukraine,2024,15.570489
United Arab Emirates,2024,
United Kingdom,2024,64.3205
United States,2024,92.95212
Uruguay,2024,35.21066
Uzbekistan,2024,16.579653
Vanuatu,2024,6.004411
Venezuela,2024,
Vietnam,2024,16.58664
Yemen,2024,
Zambia,2024,2.8581424
Zimbabwe,2024,5.1664457